id;nhogar;comuna;dominio;v2_2;v4;h2;h3;hacinam_2;tipoho;fexp
468;1;12;4;2;1;2;1;2;3;100
469;1;6;4;2;2;2;2;1;3;194
470;1;5;4;2;2;2;2;1;3;340
471;1;6;4;2;2;2;2;1;3;315
472;1;2;4;2;2;2;2;1;1;208
473;1;3;4;2;1;2;1;1;1;325
474;1;1;4;2;2;2;2;1;4;93
475;1;10;4;2;3;2;3;1;3;204
476;1;11;4;2;3;2;3;1;7;133
477;1;12;4;2;1;1;1;1;1;348
478;1;2;4;2;2;2;2;1;1;210
479;1;11;4;2;2;2;2;1;1;141
480;1;2;4;2;2;2;2;1;1;204
481;1;2;4;2;2;2;2;1;1;327
482;1;2;4;2;1;3;1;1;1;147
483;1;15;4;2;3;1;1;1;1;424
483;2;15;4;2;3;2;0;0;1;424
483;3;15;4;2;3;2;0;0;1;424
484;1;5;4;2;3;2;3;1;3;264
485;1;15;4;2;2;2;2;1;1;294
486;1;6;4;2;2;2;2;1;3;219
487;1;6;4;2;2;2;2;1;3;282
488;1;4;4;2;3;2;3;1;3;129
489;1;3;4;2;3;1;3;1;5;222
490;1;11;4;2;3;3;3;1;3;134
491;1;15;4;2;3;1;3;1;7;221
492;1;10;4;1;3;2;3;1;3;194
493;1;2;4;2;3;2;3;1;1;193
494;1;15;4;2;1;2;1;1;1;366
495;1;1;4;2;1;2;1;1;1;235
496;1;2;4;2;1;2;1;2;3;96
497;1;7;3;1;2;2;2;2;4;112
498;1;7;4;2;2;2;2;1;1;346
499;1;4;3;1;3;3;3;1;3;228
500;1;1;3;1;2;3;2;1;4;69
501;1;4;4;1;5;2;2;1;1;231
502;1;1;4;2;1;1;1;3;3;184
503;1;13;4;2;2;2;2;1;3;263
504;1;3;4;2;1;3;1;1;1;408
505;1;1;3;1;2;3;2;2;3;158
506;1;4;4;2;2;3;2;1;1;170
507;1;12;4;2;3;3;3;1;3;290
508;1;12;4;2;3;2;3;1;3;510
